id,slug,url
22765,getafe-real-madrid,https://www.futbolfantasy.com/partidos/22765-getafe-real-madrid
22766,levante-villarreal,https://www.futbolfantasy.com/partidos/22766-levante-villarreal
22767,malaga-valencia,https://www.futbolfantasy.com/partidos/22767-malaga-valencia
22768,betis-athletic,https://www.futbolfantasy.com/partidos/22768-betis-athletic
22769,real-sociedad-racing,https://www.futbolfantasy.com/partidos/22769-real-sociedad-racing
22770,athletic-deportivo,https://www.futbolfantasy.com/partidos/22770-athletic-deportivo
22771,celta-barcelona,https://www.futbolfantasy.com/partidos/22771-celta-barcelona
22772,espanyol-real-sociedad,https://www.futbolfantasy.com/partidos/22772-espanyol-real-sociedad
22773,getafe-betis,https://www.futbolfantasy.com/partidos/22773-getafe-betis
22774,osasuna-alaves,https://www.futbolfantasy.com/partidos/22774-osasuna-alaves
22775,real-madrid-elche,https://www.futbolfantasy.com/partidos/22775-real-madrid-elche
22776,racing-malaga,https://www.futbolfantasy.com/partidos/22776-racing-malaga
22777,sevilla-levante,https://www.futbolfantasy.com/partidos/22777-sevilla-levante
22778,valencia-rayo,https://www.futbolfantasy.com/partidos/22778-valencia-rayo
22779,villarreal-atletico,https://www.futbolfantasy.com/partidos/22779-villarreal-atletico
22780,atletico-alaves,https://www.futbolfantasy.com/partidos/22780-atletico-alaves
22781,celta-sevilla,https://www.futbolfantasy.com/partidos/22781-celta-sevilla
22782,deportivo-racing,https://www.futbolfantasy.com/partidos/22782-deportivo-racing
22783,elche-espanyol,https://www.futbolfantasy.com/partidos/22783-elche-espanyol
22784,barcelona-osasuna,https://www.futbolfantasy.com/partidos/22784-barcelona-osasuna
22785,levante-real-madrid,https://www.futbolfantasy.com/partidos/22785-levante-real-madrid
22786,malaga-getafe,https://www.futbolfantasy.com/partidos/22786-malaga-getafe
22787,rayo-villarreal,https://www.futbolfantasy.com/partidos/22787-rayo-villarreal
